id,name,district,horoo,state_owned
1,11-р цэцэрлэг,Баянгол,18,1
2,13-р цэцэрлэг,Баянгол,13,1
3,15-р цэцэрлэг,Баянгол,12,1
4,30-р цэцэрлэг,Баянгол,11,1
5,34-р цэцэрлэг,Баянгол,20,1
6,57-р цэцэрлэг,Баянгол,11,1
7,66-р цэцэрлэг,Баянгол,2,1
8,76-р цэцэрлэг,Баянгол,13,1
9,77-р цэцэрлэг,Баянгол,13,1
10,85-р цэцэрлэг,Баянгол,14,1
11,86-р цэцэрлэг,Баянгол,15,1
12,87-р цэцэрлэг,Баянгол,18,1
13,88-р цэцэрлэг,Баянгол,18,1
14,89-р цэцэрлэг,Баянгол,8,1
15,93-р цэцэрлэг,Баянгол,8,1
16,94-р цэцэрлэг,Баянгол,8,1
17,95-р цэцэрлэг,Баянгол,8,1
18,96-р цэцэрлэг,Баянгол,4,1
19,97-р цэцэрлэг,Баянгол,7,1
20,98-р цэцэрлэг,Баянгол,6,1
21,100-р цэцэрлэг,Баянгол,3,1
22,114-р цэцэрлэг,Баянгол,6,1
23,120-р цэцэрлэг,Баянгол,5,1
24,133-р цэцэрлэг,Баянгол,9,1
25,141-р цэцэрлэг,Баянгол,10,1
26,157-р цэцэрлэг,Баянгол,4,1
27,161-р цэцэрлэг,Баянгол,15,1
28,162-р цэцэрлэг,Баянгол,18,1
29,164-р цэцэрлэг,Баянгол,4,1
30,Амилагийн найзууд,Баянгол,"8, 9",0
31,Хэрэмхэн,Баянгол,4,0
32,Мон-Эрин,Баянгол,5,0
33,Жаргалан,Баянгол,5,0
34,Хүслэн,Баянгол,9,0
35,Алтанзул,Баянгол,5,0
36,Лусын дагина,Баянгол,10,0
37,Гоё ертөнц,Баянгол,"8, 9",0
38,Бүжин,Баянгол,3,0
39,Алтан түлхүүр,Баянгол,2,0
40,Бөмбөөхөн,Баянгол,13,0
41,Дэгдээхий,Баянгол,18,0
42,Унагахан,Баянгол,1,0
43,Оньсхон-2,Баянгол,20,0
44,Тайвнаагийн найзууд,Баянгол,6,0
45,Золбоо,Баянгол,4,0
46,Түвшин Бүүвэй,Баянгол,1,0
47,Бяцхан тамир,Баянгол,18,0
48,Бяцхан сувд,Баянгол,5,0
49,Бяцхан язгууртан,Баянгол,9,0
50,Нандин нар,Баянгол,6,0
51,Мазаахайн найзууд,Баянгол,6,0
52,Цэлмэг,Баянгол,5,0
53,Шинэ зууны хүүхдүүд,Баянгол,1,0
54,Унагалдай,Баянгол,19,0
55,Тэлмэн,Баянгол,4,0
56,Эрин зууны багачууд,Баянгол,5,0
57,Энх өргөө,Баянгол,11,0
58,Чингүндэй өргөө,Баянгол,4,0
59,Гэгээн өрөгөө,Баянгол,6,0
60,Шинэ жаргалан,Баянгол,20,0
61,Титэм ордон,Баянгол,1,0
62,Саран,Баянгол,"8, 9",0
63,Оджин,Баянгол,19,0
64,Эрхэмсэг оршихуй,Баянгол,"8, 9",0
65,Эрдмийн эх,Баянгол,5,0
66,Бөмбөрцөг,Баянгол,5,0
67,Бяцхан эрдэмтэн,Баянгол,19,0
68,Монгол маамуу,Баянгол,2,0
69,3-р цэцэрлэг,Баянзүрх,9,1
70,6-р цэцэрлэг,Баянзүрх,23,1
71,8-р цэцэрлэг,Баянзүрх,16,1
72,10-р цэцэрлэг,Баянзүрх,3,1
73,20-р цэцэрлэг,Баянзүрх,12,1
74,21-р цэцэрлэг,Баянзүрх,16,1
75,22-р цэцэрлэг,Баянзүрх,1,1
76,32-р цэцэрлэг,Баянзүрх,"8, 9",1
77,40-р хүүхдийн клиник сувилал,Баянзүрх,16,1
78,45-р цэцэрлэг,Баянзүрх,27,1
79,50-р цэцэрлэг,Баянзүрх,3,1
80,52-р цэцэрлэг,Баянзүрх,5,1
81,59-р цэцэрлэг,Баянзүрх,6,1
82,61-р цэцэрлэг,Баянзүрх,3,1
83,62-р цэцэрлэг,Баянзүрх,10,1
84,63-р цэцэрлэг,Баянзүрх,20,1
85,64-р цэцэрлэг,Баянзүрх,11,1
86,82-р цэцэрлэг,Баянзүрх,16,1
87,115-р цэцэрлэг,Баянзүрх,5,1
88,122-р цэцэрлэг,Баянзүрх,15,1
89,128-р цэцэрлэг,Баянзүрх,5,1
90,129-р цэцэрлэг,Баянзүрх,18,1
91,136-р цэцэрлэг,Баянзүрх,13,1
92,147-р цэцэрлэг,Баянзүрх,18,1
93,167-р цэцэрлэг,Баянзүрх,9,1
94,168-р цэцэрлэг,Баянзүрх,19,1
95,169-р цэцэрлэг,Баянзүрх,22,1
96,172-р цэцэрлэг,Баянзүрх,13,1
97,Аз хишиг,Баянзүрх,19,0
98,Амар,Баянзүрх,15,0
99,Амилагийн жаалууд,Баянзүрх,14,0
100,Баян Монголын Багачууд,Баянзүрх,26,0
101,Бяцхан имж,Баянзүрх,6,0
102,Биндэръяа,Баянзүрх,28,0
103,Дөлгөөнтуул,Баянзүрх,13,0
104,Дэлгэрэх ирээдүй,Баянзүрх,16,0
105,Жаргалан-2,Баянзүрх,6,0
106,Жигүүр,Баянзүрх,6,0
107,Жи жи,Баянзүрх,25,0
108,Их засаг Тэмүүжин,Баянзүрх,4,0
109,Мандах нар,Баянзүрх,4,0
110,Мишээл Т,Баянзүрх,14,0
111,Мөнгөөлэй,Баянзүрх,5,0
112,Мөрөөдлийн хотхон,Баянзүрх,15,0
113,Нахиа,Баянзүрх,"8, 9",0
114,Нархан М,Баянзүрх,6,0
115,Ногоон хотхон,Баянзүрх,11,0
116,Одод Звезда,Баянзүрх,1,0
117,Оньсхон-Загадка,Баянзүрх,15,0
118,Саруул өргөө,Баянзүрх,4,0
119,Сувдан дэлбээ,Баянзүрх,15,0
120,Сэргэлэн жаалууд,Баянзүрх,6,0
121,Том жаал-Баянмонгол,Баянзүрх,26,0
122,Тэнгэрлэг багачууд,Баянзүрх,25,0
123,Улаанбаатар,Баянзүрх,25,0
124,Сказка-ёлгэрхэн,Баянзүрх,,0
125,Хотхоны андууд,Баянзүрх,8,0
126,Хүүхэд-эрдэнэ,Баянзүрх,14,0
127,Цахиур чулууныхан,Баянзүрх,6,0
128,Цомирлог,Баянзүрх,13,0
129,Цэлмэгхэн,Баянзүрх,10,0
130,Шүүдэрхэн,Баянзүрх,4,0
131,Энхбүүвэй,Баянзүрх,25,0
132,Энхрий жаалууд,Баянзүрх,12,0
133,Ягаан цамхаг,Баянзүрх,15,0
134,Ялгуун,Баянзүрх,26,0
135,Яргуй,Баянзүрх,21,0
136,Есөн-эрдэнэ,Баянзүрх,9,0
137,Жаргалын наран,Баянзүрх,25,0
138,Илбэнх,Баянзүрх,25,0
139,Миний хүүхдүүд,Баянзүрх,14,0
140,Соёл,Баянзүрх,5,0
141,Хөөрхөн жаал,Баянзүрх,6,0
142,Хүүхэд ирээдүй,Баянзүрх,,0
143,Шинэ дөл,Баянзүрх,25,0
144,Шүрэн цох,Баянзүрх,18,0
145,Энхрийхэн,Баянзүрх,,0
146,Хонхонцэцэг,Баянзүрх,4,0
147,Сайхан,Баянзүрх,5,0
148,Мөрөөдлийн наран,Баянзүрх,14,0
149,Эрэл,Баянзүрх,1,0
150,Танхилхан,Баянзүрх,7,0
151,Алдрай,Баянзүрх,,0
152,Амина,Баянзүрх,,0
153,Ану,Баянзүрх,26,0
154,Ариун хүслэн,Баянзүрх,,0
155,Булган зул,Баянзүрх,2,0
156,Бяцхан хусхан,Баянзүрх,22,0
157,Даянхүү,Баянзүрх,,0
158,Жаргалтай хотхон,Баянзүрх,,0
159,Их монголын үрс,Баянзүрх,,0
160,Нархан хотхон,Баянзүрх,2,0
161,Оддын өргөө,Баянзүрх,,0
162,Одтой жаалууд,Баянзүрх,5,0
163,Цагчиг,Баянзүрх,5,0
164,Цовоо хүүхдүүд,Баянзүрх,18,0
165,Шинэ ирээдүй,Баянзүрх,25,0
166,Энхрий ертөнц,Баянзүрх,4,0
167,Энэрэл,Баянзүрх,,0
168,Эх дэлхийн нөхөрлөл,Баянзүрх,1,0
169,Багачуудын ордон,Баянзүрх,5,0
170,Есєн цагаан бүжин,Баянзүрх,4,0
171,Энх-Ирээдүй,Баянзүрх,3,0
172,Бамбага эгч,Баянзүрх,,0
173,Хотын жаалууд,Баянзүрх,17,0
174,1-р цэцэрлэг,Сүхбаатар,4,1
175,2-р цэцэрлэг,Сүхбаатар,6,1
176,14-р цэцэрлэг,Сүхбаатар,6,1
177,16-р цэцэрлэг,Сүхбаатар,4,1
178,17-р цэцэрлэг,Сүхбаатар,10,1
179,24-р цэцэрлэг,Сүхбаатар,10,1
180,25-р цэцэрлэг,Сүхбаатар,6,1
181,36-р цэцэрлэг,Сүхбаатар,15,1
182,40-р цэцэрлэг,Сүхбаатар,4,1
183,42-р цэцэрлэг,Сүхбаатар,8,1
184,51-р цэцэрлэг,Сүхбаатар,14,1
185,54-р цэцэрлэг,Сүхбаатар,3,1
186,68-р цэцэрлэг,Сүхбаатар,5,1
187,69-р цэцэрлэг,Сүхбаатар,10,1
188,75-р цэцэрлэг,Сүхбаатар,10,1
189,109-р цэцэрлэг,Сүхбаатар,15,1
190,135-р цэцэрлэг,Сүхбаатар,7,1
191,143-р цэцэрлэг,Сүхбаатар,1,1
192,149-р цэцэрлэг,Сүхбаатар,4,1
193,150-р цэцэрлэг,Сүхбаатар,13,1
194,159-р цэцэрлэг,Сүхбаатар,17,1
195,160-р цэцэрлэг,Сүхбаатар,3,1
196,166-р цэцэрлэг,Сүхбаатар,18,1
197,171-р цэцэрлэг,Сүхбаатар,16,1
198,175-р цэцэрлэг,Сүхбаатар,17,1
199,186-р цэцэрлэг,Сүхбаатар,11,1
200,Багачууд мөрөөдөл,Сүхбаатар,3,0
201,Бөмбөөлэй,Сүхбаатар,2,0
202,Бөмбөлөг,Сүхбаатар,7,0
203,Гүүр,Сүхбаатар,8,0
204,Жүржхэн,Сүхбаатар,7,0
205,Мөндөөхэй,Сүхбаатар,8,0
206,Орчлон,Сүхбаатар,7,0
207,Том Жаал,Сүхбаатар,3,0
208,ёрөл хотхон,Сүхбаатар,8,0
209,Хараацай,Сүхбаатар,3,0
210,Хөөрхөн хотхон,Сүхбаатар,3,0
211,Хөгжил,Сүхбаатар,3,0
212,Шинэ гэр,Сүхбаатар,9,0
213,Эрдмийн цацраг,Сүхбаатар,6,0
214,Буман жаалууд,Сүхбаатар,6,0
215,Дуду Эмээ,Сүхбаатар,8,0
216,Ногоон алим,Сүхбаатар,6,0
217,Басархан-2,Сүхбаатар,15,0
218,Ертөнц,Сүхбаатар,10,0
219,Элит багачууд,Сүхбаатар,СБД-ийн Сєђлийн гудамж шаазан ваарны байр,0
220,ёзэм,Сүхбаатар,5,0
221,Амила,Сүхбаатар,7,0
222,Хүүхэд хєгжүүлэгч,Сүхбаатар,4,0
223,Миний цэцэрлэг,Сүхбаатар,8,0
224,Бөмбөөлэй оддууд,Сүхбаатар,1,0
225,Цагаан бамбарууш,Сүхбаатар,7,0
226,Ивээлт нар,Сүхбаатар,8,0
227,Цоглог бөмбөөхэн,Сүхбаатар,7,0
228,Цоглог хүүхдүүд,Сүхбаатар,3,0
229,Ирээдүйн одод,Сүхбаатар,18,0
230,Сайхан аа,Сүхбаатар,18,0
231,41-р ясли,Сонгинохайрхан,18,1
232,26-р цэцэрлэг,Сонгинохайрхан,19,1
233,38-р цэцэрлэг,Сонгинохайрхан,10,1
234,48-р цэцэрлэг,Сонгинохайрхан,1,1
235,55-р цэцэрлэг,Сонгинохайрхан,18,1
236,78-р цэцэрлэг,Сонгинохайрхан,9,1
237,79-р цэцэрлэг,Сонгинохайрхан,18,1
238,80-р цэцэрлэг,Сонгинохайрхан,3,1
239,81-р цэцэрлэг,Сонгинохайрхан,2,1
240,84-р цэцэрлэг,Сонгинохайрхан,6,1
241,90-р цэцэрлэг,Сонгинохайрхан,18,1
242,91-р цэцэрлэг,Сонгинохайрхан,6,1
243,92-р цэцэрлэг,Сонгинохайрхан,19,1
244,99-р цэцэрлэг,Сонгинохайрхан,13,1
245,101-р цэцэрлэг,Сонгинохайрхан,14,1
246,104-р цэцэрлэг,Сонгинохайрхан,12,1
247,105-р цэцэрлэг,Сонгинохайрхан,12,1
248,106-р цэцэрлэг,Сонгинохайрхан,13,1
249,107-р цэцэрлэг,Сонгинохайрхан,14,1
250,110-р цэцэрлэг,Сонгинохайрхан,15,1
251,111-р цэцэрлэг,Сонгинохайрхан,1,1
252,112-р цэцэрлэг,Сонгинохайрхан,14,1
253,113-р цэцэрлэг,Сонгинохайрхан,16,1
254,116-р цэцэрлэг,Сонгинохайрхан,21,1
255,117-р цэцэрлэг,Сонгинохайрхан,8,1
256,118-р цэцэрлэг,Сонгинохайрхан,17,1
257,119-р цэцэрлэг,Сонгинохайрхан,16,1
258,125-р цэцэрлэг,Сонгинохайрхан,30,1
259,127-р цэцэрлэг,Сонгинохайрхан,11,1
260,148-р цэцэрлэг,Сонгинохайрхан,19,1
261,156-р цэцэрлэг,Сонгинохайрхан,27,1
262,158-р цэцэрлэг,Сонгинохайрхан,24,1
263,163-р цэцэрлэг,Сонгинохайрхан,9,1
264,170-р цэцэрлэг,Сонгинохайрхан,25,1
265,176-р цэцэрлэг,Сонгинохайрхан,31,1
266,188-р цэцэрлэг,Сонгинохайрхан,22,1
267,192-р цэцэрлэг,Сонгинохайрхан,7,1
268,Азийн хүүхдүүд,Сонгинохайрхан,9,0
269,Билгүүн Ундарга,Сонгинохайрхан,14,0
270,Бамбар,Сонгинохайрхан,2,0
271,Сэнтпоул,Сонгинохайрхан,13,0
272,Ишигхэн,Сонгинохайрхан,10,0
273,Жаргалант Оч,Сонгинохайрхан,23,0
274,Саран хараацай,Сонгинохайрхан,24,0
275,Цэцүүлээ,Сонгинохайрхан,25,0
276,Заан,Сонгинохайрхан,15,0
277,Найзууд,Сонгинохайрхан,29,0
278,Өнөр,Сонгинохайрхан,9,0
279,Гурван хөгжил,Сонгинохайрхан,19,0
280,Цахирмаа,Сонгинохайрхан,24,0
281,Мэргэн хүү,Сонгинохайрхан,32,0
282,Дөрвөн жаал,Сонгинохайрхан,9,0
283,Хос дарь,Сонгинохайрхан,23,0
284,Чимэг,Сонгинохайрхан,1,0
285,Зааны төгөл,Сонгинохайрхан,22,0
286,Анаанда,Сонгинохайрхан,2,0
287,Цоглог найзууд,Сонгинохайрхан,3,0
288,Бяцхан хилчид,Сонгинохайрхан,7,0
289,Гоёхондоо,Сонгинохайрхан,22,0
290,Их ундарга,Сонгинохайрхан,22,0
291,Ивээлт дагина,Сонгинохайрхан,28,0
292,Мөнх ундарга,Сонгинохайрхан,22,0
293,Зөв эхлэл,Сонгинохайрхан,14,0
294,Шинэ хотхон,Сонгинохайрхан,20,0
295,Бөмбөөлэй нархан,Сонгинохайрхан,17,0
296,Тэнгэрлэг хүүхдүүд,Сонгинохайрхан,17,0
297,Дөрвөн бэрх,Сонгинохайрхан,24,0
298,Амин эрдэнэ,Сонгинохайрхан,11,0
299,Балжингарав,Сонгинохайрхан,16,0
300,Зузаахай,Сонгинохайрхан,18,0
301,Тэвхэн багачууд,Сонгинохайрхан,4,0
302,Гэрэлт Оюу,Сонгинохайрхан,20,0
303,Ирмүүн ертєнц,Сонгинохайрхан,15,0
304,Бяцхан дэлхий,Сонгинохайрхан,21,0
305,Нарны хүүхдүүд,Сонгинохайрхан,24,0
306,4-р цэцэрлэг,Чингэлтэй,4,1
307,5-р цэцэрлэг,Чингэлтэй,1,1
308,9-р цэцэрлэг,Чингэлтэй,4,1
309,18-р цэцэрлэг,Чингэлтэй,4,1
310,19-р цэцэрлэг,Чингэлтэй,3,1
311,31-р цэцэрлэг,Чингэлтэй,9,1
312,33-р цэцэрлэг,Чингэлтэй,1,1
313,37-р цэцэрлэг,Чингэлтэй,4,1
314,39-р цэцэрлэг,Чингэлтэй,1,1
315,43-р цэцэрлэг,Чингэлтэй,9,1
316,56-р цэцэрлэг,Чингэлтэй,13,1
317,70-р цэцэрлэг,Чингэлтэй,2,1
318,74-р цэцэрлэг,Чингэлтэй,6,1
319,83-р цэцэрлэг,Чингэлтэй,15,1
320,102-р цэцэрлэг,Чингэлтэй,15,1
321,103-р цэцэрлэг,Чингэлтэй,17,1
322,108-р цэцэрлэг,Чингэлтэй,6,1
323,124-р цэцэрлэг,Чингэлтэй,6,1
324,126-р цэцэрлэг,Чингэлтэй,14,1
325,154-р цэцэрлэг,Чингэлтэй,12,1
326,155-р цэцэрлэг,Чингэлтэй,19,1
327,173-р цэцэрлэг,Чингэлтэй,7,1
328,174-р цэцэрлэг,Чингэлтэй,17,1
329,Басархан,Чингэлтэй,5,0
330,Бяцхан ертөнц,Чингэлтэй,5,0
331,Маамуу нааш ир,Чингэлтэй,6,0
332,Чинхур,Чингэлтэй,4,0
333,Закира-Од,Чингэлтэй,3,0
334,Бөндөөлхєн,Чингэлтэй,3,0
335,Цэцэнхүү,Чингэлтэй,19,0
336,Хүүхдийн өргөө,Чингэлтэй,19,0
337,Соронз,Чингэлтэй,2,0
338,Их ханд,Чингэлтэй,17,0
339,Гэрэл,Чингэлтэй,1,0
340,Хишиг-Ундрам,Чингэлтэй,14,0
341,Бөндөөлхөн1,Чингэлтэй,16,0
342,Ивээл,Чингэлтэй,7,0
343,Сэргэлэн божуухай,Чингэлтэй,10,0
344,Шүрэн дэгд,Чингэлтэй,15,0
345,Сод-Од,Чингэлтэй,4,0
346,Хайлаастын багачууд,Чингэлтэй,16,0
347,Хундан цагаан хурга,Чингэлтэй,18,0
348,Зааны тугалхан,Чингэлтэй,13,0
349,Ягаан зулзаахай,Чингэлтэй,16,0
350,Мөнхбуянт,Чингэлтэй,7,0
351,ХКС 4 ясли,Хан-Уул,3,1
352,12-р цэцэрлэг,Хан-Уул,4,1
353,27-р цэцэрлэг,Хан-Уул,2,1
354,28-р цэцэрлэг,Хан-Уул,3,1
355,29-р цэцэрлэг,Хан-Уул,5,1
356,35-р цэцэрлэг,Хан-Уул,11,1
357,41-р цэцэрлэг,Хан-Уул,3,1
358,46-р цэцэрлэг,Хан-Уул,3,1
359,49-р цэцэрлэг,Хан-Уул,10,1
360,53-р цэцэрлэг,Хан-Уул,1,1
361,65-р цэцэрлэг,Хан-Уул,2,1
362,67-р цэцэрлэг,Хан-Уул,1,1
363,71-р цэцэрлэг,Хан-Уул,5,1
364,72-р цэцэрлэг,Хан-Уул,2,1
365,73-р цэцэрлэг,Хан-Уул,7,1
366,121-р цэцэрлэг,Хан-Уул,12,1
367,134-р цэцэрлэг,Хан-Уул,9,1
368,137-р цэцэрлэг,Хан-Уул,3,1
369,144-р цэцэрлэг,Хан-Уул,13,1
370,145-р цэцэрлэг,Хан-Уул,5,1
371,165-р цэцэрлэг,Хан-Уул,14,1
372,189-р цэцэрлэг,Хан-Уул,6,1
373,190-р цэцэрлэг,Хан-Уул,12,1
374,Оргил,Хан-Уул,11,0
375,Миний гэр,Хан-Уул,11,0
376,Миний найз,Хан-Уул,1,0
377,Тором,Хан-Уул,11,0
378,Цэцэн дагина,Хан-Уул,2,0
379,Гурван хөгжил зайсан,Хан-Уул,11,0
380,Тугалхан,Хан-Уул,9,0
381,Сувдхан,Хан-Уул,15,0
382,Мөөжиг жөөжиг,Хан-Уул,11,0
383,Мандухай,Хан-Уул,15,0
384,Маршалын багачууд,Хан-Уул,11,0
385,Болор-өргөө,Хан-Уул,11,0
386,Сараанцэцэг,Хан-Уул,11,0
387,Бяцхан найзууд,Хан-Уул,15,0
388,Нархан үрс,Хан-Уул,15,0
389,Жаргалтай ирээдүй,Хан-Уул,15,0
390,Сүүн сэтгэл,Хан-Уул,16,0
391,Цэцэгхэн,Хан-Уул,15,0
392,Жимсхэн,Хан-Уул,1,0
393,Хүүхдийн ертөнц,Хан-Уул,15,0
394,Ханбэхи,Хан-Уул,15,0
395,Олуулаа,Хан-Уул,15,0
396,Энх-Ундарга,Хан-Уул,15,0
397,Бамбуулай,Хан-Уул,15,0
398,Оргилуун ертөнц,Хан-Уул,14,0
399,Бүжин тэнгэр,Хан-Уул,1,0
400,Азжаргалант,Хан-Уул,1,0
401,Бэбэгийн найзууд,Хан-Уул,2,0
402,Бяцхан сондор,Хан-Уул,11,0
403,Бяцхан шилтгээн,Хан-Уул,16,0
404,Далай,Хан-Уул,15,0
405,Далд уянга,Хан-Уул,4,0
406,Марал-Од,Хан-Уул,1,0
407,Номингийн хүүхдүүд,Хан-Уул,15,0
408,Номингийн оюунлаг хүүхдүүд,Хан-Уул,3,0
409,Төгсбаясгалангийн гэгээ,Хан-Уул,11,0
410,Чогжоохон,Хан-Уул,15,0
411,Цэцэгбал,Хан-Уул,15,0
412,Мөрөөдөл,Хан-Уул,3,0
413,23-р цэцэрлэг,Налайх,1,1
414,123-р цэцэрлэг,Налайх,2,1
415,140-р цэцэрлэг,Налайх,2,1
416,151-р цэцэрлэг,Налайх,1,1
417,152-р цэцэрлэг,Налайх,3,1
418,153-р цэцэрлэг,Налайх,5,1
419,Хос-Ирээдүй,Налайх,1,0
420,Би нисгэгч,Налайх,5,0
421,Төгс заяа,Налайх,7,0
422,Тэнүүн төгөл,Налайх,5,0
423,131-р цэцэрлэг,Багануур,1,1
424,132-р цэцэрлэг,Багануур,4,1
425,138-р цэцэрлэг,Багануур,3,1
426,139-р цэцэрлэг,Багануур,3,1
427,142-рцэцэрлэг,Багануур,3,1
428,44-р цэцэрлэг,Багахангай,1,1
